SUM,000012093
TotalTime,0000:02:01
SampTime(ms),10
DateTime, 2023-07-20 16:46:01
Time(hh:mm:ss:ms),Voltage(V),Current(A),Power(W),Temperature
"00:00:00:000", 5.022, 0.302, 1.517, 33.
"00:00:00:010", 5.021, 0.312, 1.567, 33.
"00:00:00:020", 5.022, 0.301, 1.510, 33.
"00:00:00:030", 5.022, 0.299, 1.502, 33.
"00:00:00:040", 5.021, 0.298, 1.494, 33.
"00:00:00:050", 5.021, 0.298, 1.494, 33.
"00:00:00:060", 5.021, 0.294, 1.474, 33.
"00:00:00:070", 5.022, 0.307, 1.540, 33.
"00:00:00:080", 5.021, 0.307, 1.539, 33.
"00:00:00:090", 5.020, 0.311, 1.561, 33.
"00:00:00:100", 5.024, 0.294, 1.475, 33.
"00:00:00:110", 5.021, 0.290, 1.457, 33.
"00:00:00:120", 5.021, 0.293, 1.472, 33.
"00:00:00:130", 5.025, 0.296, 1.488, 33.
"00:00:00:140", 5.022, 0.302, 1.515, 33.
"00:00:00:150", 5.022, 0.302, 1.515, 33.
"00:00:00:160", 5.022, 0.298, 1.497, 33.
"00:00:00:170", 5.021, 0.307, 1.539, 33.
"00:00:00:180", 5.020, 0.318, 1.599, 33.
"00:00:00:190", 5.020, 0.298, 1.496, 33.
"00:00:00:200", 5.022, 0.290, 1.455, 33.
"00:00:00:210", 5.024, 0.298, 1.495, 33.
"00:00:00:220", 5.024, 0.304, 1.527, 33.
"00:00:00:230", 5.024, 0.308, 1.545, 33.
"00:00:00:240", 5.021, 0.284, 1.427, 33.
"00:00:00:250", 5.025, 0.297, 1.490, 33.
"00:00:00:260", 5.021, 0.288, 1.447, 33.
"00:00:00:270", 5.021, 0.300, 1.507, 33.
"00:00:00:280", 5.022, 0.300, 1.507, 33.
"00:00:00:290", 5.020, 0.302, 1.516, 33.
"00:00:00:300", 5.024, 0.303, 1.522, 33.
"00:00:00:310", 5.020, 0.297, 1.489, 33.
"00:00:00:320", 5.024, 0.299, 1.502, 33.
"00:00:00:330", 5.022, 0.299, 1.502, 33.
"00:00:00:340", 5.021, 0.302, 1.514, 33.
"00:00:00:350", 5.020, 0.297, 1.491, 33.
"00:00:00:360", 5.022, 0.289, 1.452, 33.
"00:00:00:370", 5.022, 0.300, 1.505, 33.
"00:00:00:380", 5.021, 0.302, 1.514, 33.
"00:00:00:390", 5.021, 0.302, 1.514, 33.
"00:00:00:400", 5.026, 0.296, 1.486, 33.
"00:00:00:410", 5.020, 0.287, 1.439, 33.
"00:00:00:420", 5.022, 0.300, 1.505, 33.
"00:00:00:430", 5.024, 0.300, 1.507, 33.
"00:00:00:440", 5.021, 0.294, 1.477, 33.
"00:00:00:450", 5.026, 0.301, 1.511, 33.
"00:00:00:460", 5.021, 0.295, 1.482, 33.
"00:00:00:470", 5.021, 0.297, 1.492, 33.
"00:00:00:480", 5.022, 0.302, 1.515, 33.
"00:00:00:490", 5.022, 0.308, 1.547, 33.
"00:00:00:500", 5.021, 0.305, 1.529, 33.
"00:00:00:510", 5.020, 0.294, 1.474, 33.
"00:00:00:520", 5.021, 0.290, 1.454, 33.
"00:00:00:530", 5.024, 0.298, 1.497, 33.
"00:00:00:540", 5.022, 0.297, 1.490, 33.
"00:00:00:550", 5.021, 0.293, 1.469, 33.
"00:00:00:560", 5.024, 0.288, 1.445, 33.
"00:00:00:570", 5.021, 0.292, 1.464, 33.
"00:00:00:580", 5.022, 0.307, 1.540, 33.
"00:00:00:590", 5.020, 0.293, 1.469, 33.
"00:00:00:600", 5.020, 0.305, 1.529, 33.
"00:00:00:610", 5.021, 0.304, 1.524, 33.
"00:00:00:620", 5.021, 0.303, 1.522, 33.
"00:00:00:630", 5.020, 0.291, 1.461, 33.
"00:00:00:640", 5.022, 0.294, 1.477, 33.
"00:00:00:650", 5.022, 0.295, 1.480, 33.
"00:00:00:660", 5.021, 0.291, 1.459, 33.
"00:00:00:670", 5.021, 0.290, 1.454, 33.
"00:00:00:680", 5.021, 0.303, 1.519, 33.
"00:00:00:690", 5.024, 0.310, 1.555, 33.
"00:00:00:700", 5.022, 0.293, 1.470, 33.
"00:00:00:710", 5.022, 0.297, 1.490, 33.
"00:00:00:720", 5.020, 0.294, 1.476, 33.
"00:00:00:730", 5.022, 0.302, 1.515, 33.
"00:00:00:740", 5.020, 0.294, 1.474, 33.
"00:00:00:750", 5.021, 0.289, 1.452, 33.
"00:00:00:760", 5.020, 0.290, 1.456, 33.
"00:00:00:770", 5.020, 0.290, 1.456, 33.
"00:00:00:780", 5.022, 0.300, 1.505, 33.
"00:00:00:790", 5.021, 0.286, 1.434, 33.
"00:00:00:800", 5.020, 0.297, 1.491, 33.
"00:00:00:810", 5.021, 0.291, 1.462, 33.
"00:00:00:820", 5.022, 0.300, 1.507, 33.
"00:00:00:830", 5.021, 0.291, 1.459, 33.
"00:00:00:840", 5.025, 0.306, 1.535, 33.
"00:00:00:850", 5.021, 0.296, 1.487, 33.
"00:00:00:860", 5.024, 0.305, 1.532, 33.
"00:00:00:870", 5.021, 0.299, 1.502, 33.
"00:00:00:880", 5.022, 0.300, 1.507, 33.
"00:00:00:890", 5.022, 0.310, 1.557, 33.
"00:00:00:900", 5.021, 0.288, 1.444, 33.
"00:00:00:910", 5.020, 0.293, 1.469, 33.
"00:00:00:920", 5.025, 0.294, 1.478, 33.
"00:00:00:930", 5.021, 0.285, 1.429, 33.
"00:00:00:940", 5.024, 0.291, 1.463, 33.
"00:00:00:950", 5.021, 0.297, 1.489, 33.
"00:00:00:960", 5.021, 0.308, 1.544, 33.
"00:00:00:970", 5.022, 0.297, 1.490, 33.
"00:00:00:980", 5.022, 0.297, 1.490, 33.
"00:00:00:990", 5.020, 0.301, 1.509, 33.
"00:00:01:000", 5.022, 0.310, 1.557, 33.
"00:00:01:010", 5.022, 0.294, 1.477, 33.
"00:00:01:020", 5.024, 0.295, 1.483, 33.
"00:00:01:030", 5.022, 0.290, 1.457, 33.
"00:00:01:040", 5.022, 0.302, 1.515, 33.
"00:00:01:050", 5.022, 0.292, 1.467, 33.
"00:00:01:060", 5.022, 0.294, 1.475, 33.
"00:00:01:070", 5.021, 0.291, 1.462, 33.
"00:00:01:080", 5.022, 0.287, 1.442, 33.
"00:00:01:090", 5.022, 0.298, 1.497, 33.
"00:00:01:100", 5.021, 0.313, 1.572, 33.
"00:00:01:110", 5.022, 0.299, 1.500, 33.
"00:00:01:120", 5.022, 0.303, 1.522, 33.
"00:00:01:130", 5.022, 0.303, 1.520, 33.
"00:00:01:140", 5.022, 0.288, 1.445, 33.
